iter	Passed	Remaining
0	1	126
1	2	114
2	3	110
3	4	101
4	5	101
5	6	101
6	7	100
7	8	99
8	9	98
9	10	97
10	12	97
11	13	98
12	14	99
13	16	98
14	17	97
15	18	96
16	19	94
17	20	93
18	21	91
19	22	90
20	23	89
21	24	88
22	25	87
23	27	85
24	28	85
25	29	84
26	30	83
27	32	82
28	33	81
29	34	81
30	36	80
31	37	79
32	38	77
33	39	76
34	40	75
35	41	73
36	42	72
37	43	71
38	45	71
39	46	69
40	47	68
41	48	66
42	49	65
43	50	63
44	51	63
45	53	62
46	54	61
47	56	60
48	57	59
49	58	58
50	60	58
51	61	57
52	62	55
53	64	54
54	64	53
55	65	51
56	67	50
57	68	49
58	69	48
59	70	46
60	71	45
61	72	44
62	73	43
63	75	42
64	76	41
65	77	40
66	78	38
67	79	37
68	81	36
69	82	35
70	83	33
71	84	32
72	85	31
73	86	30
74	87	29
75	89	28
76	90	27
77	91	25
78	92	24
79	94	23
80	95	22
81	96	21
82	97	19
83	98	18
84	99	17
85	100	16
86	101	15
87	103	14
88	104	12
89	105	11
90	106	10
91	107	9
92	108	8
93	109	6
94	110	5
95	111	4
96	111	3
97	112	2
98	113	1
99	114	0
